filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,asm_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,asm_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,asm_B,entropy_B
polyester_rgb_01.jpg,161.75687323285115,157.87266440992246,156.499958074018,0.314965936376968,0.30614606081252566,0.8478089306297638,0.451912447778955,0.7307426589242136,0.20527676951707952,10.958929171472475,0.3160126034394076,0.307568358067721,0.8470602234018317,0.45244149041593684,0.7298200992139223,0.2057558162540993,10.985614817851829,0.313803149444998,0.30544024673539427,0.8481161536423771,0.4513939889099019,0.7333195382306336,0.2048057023654743,10.986231939248905
polyester_rgb_02.jpg,167.42412523628732,163.89225635873223,161.5873463381472,0.2917781488265506,0.28530446866067527,0.8579951071658323,0.44622881803536607,0.7708740961593663,0.2000595516080434,11.075327405464474,0.29433810682276185,0.28752298068883264,0.8569200001675003,0.4436251976754767,0.7715796353247165,0.19775166968726166,11.114609012943534,0.29556996290280146,0.28872220774373425,0.8563236583831538,0.4420583662912844,0.7757765694195179,0.19635903581977102,11.201986142314526
polyester_rgb_03.jpg,167.03034327241926,163.45317731361337,161.25791687692234,0.2822478389243697,0.27729193124948026,0.8618496030412723,0.45823331395244316,0.7632254863566471,0.21092908706348668,10.784506327744982,0.28322735557433926,0.27809367331652235,0.8614665315675207,0.45665688721665054,0.7665832197879964,0.20949093975165042,10.844890579291413,0.2861367911678831,0.2809539534866028,0.8600412937639409,0.45293682592066753,0.770589793053354,0.20610240498067628,10.962643538377053
polyester_rgb_04.jpg,167.0438355540337,163.34682411312156,161.19633524365628,0.28928907481596466,0.28370843538137624,0.8587038418324753,0.45215046185400165,0.7615857874125722,0.20542699625611857,10.882481435049709,0.29023074753791417,0.28445724295064057,0.8583487245631118,0.4526904554666084,0.7642412553378096,0.2059117442761299,10.946105477658833,0.2922824804102048,0.2865016459283253,0.85732725606373,0.4524795416059179,0.7648962178159033,0.20572346430006408,11.003224310045495
polyester_rgb_05.jpg,166.90541861403466,163.16799403074137,161.60979313345027,0.2847357734522721,0.2795355932871535,0.8607522125323444,0.45826983408105715,0.7570719916737889,0.2109598199241411,10.732076341235224,0.2844629241844471,0.2791297396800528,0.8609684441901179,0.4587303309434513,0.7632197216028083,0.2113731110796968,10.828199469523181,0.28529442792979137,0.27998559758990166,0.8605380842390383,0.45896124533767513,0.7638788538223242,0.21158343375340127,10.861770490749745
polyester_rgb_06.jpg,166.97600432125463,163.47420701072505,161.36515027273165,0.26583986699998924,0.26240906362922256,0.86913854410217,0.47140009136320804,0.7624053127931445,0.22303224278856448,10.433550554038492,0.26398733695234716,0.26045678080515755,0.8701246652121403,0.4743929779670977,0.767074866647969,0.22585780491858704,10.479887014040491,0.26565188427516645,0.2621354783233913,0.8692838970131865,0.47287016379837243,0.769994464480368,0.22441401626011928,10.565771556816514
polyester_rgb_07.jpg,167.0008584188373,163.22364244921826,161.668900007409,0.25091926456496194,0.2487981446632075,0.8758130396585717,0.4847370652475588,0.7703706510286901,0.23571220438096946,10.256307012613235,0.25242738530082015,0.25009417710978216,0.8751862322642128,0.4815597064238843,0.7748728575866949,0.23264373650690423,10.361413807817769,0.25354516203207667,0.2512400669960362,0.8746104760055857,0.47853468807770744,0.778361101954975,0.2297392993568408,10.439861887793946
polyester_rgb_08.jpg,166.896903009059,163.33512738990612,160.89726219583014,0.26964338518305575,0.2664091290479562,0.8671188610895318,0.4703840496265802,0.7589682332411405,0.22211557138835059,10.4648601170854,0.2697548119453582,0.2663042141570303,0.8671929527003175,0.47199356844846546,0.7638709920584155,0.22362437657634515,10.55820930104907,0.27039121714415565,0.2670367317645268,0.8668170472960455,0.46946550500688655,0.7692366839855234,0.22123741892155227,10.651956915408695
polyester_rgb_09.jpg,166.94741743460048,163.3166156296056,161.77690546704792,0.24279578240957683,0.24128574692546578,0.8795081256653827,0.49573395490562144,0.7694551946091595,0.24644354115914296,10.061456258622751,0.24249533780145704,0.24081404243243099,0.879761103900392,0.49572178393249167,0.7766853619017928,0.24642568639893841,10.171638358912436,0.2447668321819494,0.24305028168342693,0.8786464921066621,0.4912599821952456,0.7778367652141677,0.24203114885230156,10.24690418925998
polyester_rgb_10.jpg,167.10376930847912,163.4024770370771,161.37700568891773,0.2660897429531751,0.2630815342426706,0.8687600537497154,0.47023744593726624,0.7685603593754148,0.2220502375592262,10.531312041815266,0.26670525132094325,0.26352402655344703,0.8685561092000261,0.46937804518375537,0.7737281512815518,0.22124418751405348,10.632626838047083,0.2680765082375789,0.2649012922898525,0.8678668710295512,0.4674733747438215,0.7759003683147992,0.21946137948472497,10.696971502891353
