filename,mean_nir,contrast,dissimilarity,homogeneity,energy,correlation,asm,entropy
katun_nir_01.jpg,125.5245949074074,0.1686717361300915,0.1686717361300915,0.9156641319349542,0.5407158827663532,0.8233891089247929,0.2927632287100287,8.962248116809567
katun_nir_02.jpg,125.16186921296297,0.1709506089962905,0.1709506089962905,0.9145246955018548,0.5392710610617004,0.8210656118839248,0.2912112448223304,8.978024459452838
katun_nir_03.jpg,125.26638310185186,0.16981470766304246,0.16981470766304246,0.9150926461684787,0.5394627702241004,0.8229242092860214,0.2914450402915702,8.976121993498966
katun_nir_04.jpg,125.32903356481482,0.17045646230992945,0.17045646230992945,0.9147717688450353,0.5398870672778913,0.8217426188527432,0.2919067073471397,8.973977671316693
katun_nir_05.jpg,124.97986689814815,0.1718956078703892,0.1718956078703892,0.9140521960648055,0.5389924836730037,0.8186451406358193,0.2909397660664596,8.967314174030665
katun_nir_06.jpg,125.27153935185186,0.16728861304307374,0.1672683161282048,0.9163678716273843,0.5408033954470655,0.8251219372780008,0.2928928897520738,8.943073843694267
katun_nir_07.jpg,125.17755787037036,0.16832595561073602,0.16832595561073602,0.915837022194632,0.5402515822161137,0.8240919153845068,0.2923111986502133,8.949391877677506
katun_nir_08.jpg,125.2064988425926,0.17065821085724217,0.17065821085724217,0.914670894571379,0.5385462975406548,0.822303331385894,0.2904669046575836,8.989600116881075
katun_nir_09.jpg,125.1719675925926,0.1675994484214444,0.1675994484214444,0.9162002757892777,0.5402000508823169,0.8248102997184696,0.29224245223207757,8.942433633440984
katun_nir_10.jpg,125.23344907407407,0.1694663345015569,0.1694663345015569,0.9152668327492216,0.5399805702226863,0.8230365453140388,0.2919791229119593,8.972661348071131
katun_nir_11.jpg,125.20564236111112,0.17138287856290413,0.17138287856290413,0.9143085607185479,0.5385470437073361,0.8208995010436226,0.2904657997375045,8.987776295905006
katun_nir_12.jpg,125.0392650462963,0.17060937367742945,0.17060937367742945,0.9146953131612852,0.5390674156063828,0.820636863819493,0.2909910762815386,8.963740754490027
katun_nir_13.jpg,125.28246527777777,0.168418603192649,0.168418603192649,0.9157906984036757,0.5396466291253436,0.8250010062561322,0.2916447306228467,8.978265639889184
katun_nir_14.jpg,125.49478009259259,0.16760703856300752,0.16760703856300752,0.9161964807184962,0.5416305195132216,0.8247990587384006,0.2937759831897797,8.94720272112756
katun_nir_15.jpg,125.07131944444444,0.16972940489090227,0.16972940489090227,0.9151352975545489,0.5399443674528255,0.8214357172484285,0.2919647409691008,8.947154514986753
katun_nir_16.jpg,125.3199363425926,0.16586157051760445,0.16586157051760445,0.917069214741198,0.5410058879011684,0.8280253621233185,0.2931226317759652,8.949669288531831
katun_nir_17.jpg,125.33144097222223,0.16990938049422058,0.16990938049422058,0.9150453097528897,0.5391517044182605,0.8236336387275511,0.2911107090590572,8.996916882410622
katun_nir_18.jpg,125.32054398148148,0.16810626149727748,0.16810626149727748,0.9159468692513613,0.5408392078178998,0.8238060652332144,0.2929731273795403,8.935414107913738
katun_nir_19.jpg,125.27218171296296,0.17061507688435817,0.17061507688435817,0.9146924615578211,0.5382435526688875,0.823077026762618,0.2901251581608078,9.007287856892182
katun_nir_20.jpg,125.24282407407408,0.1699938614553429,0.1699938614553429,0.9150030692723286,0.5389041152873029,0.823500909135249,0.29083605802677026,8.995729022598377
katun_nir_21.jpg,125.26950810185186,0.16692471431668293,0.16692471431668293,0.9165376428416585,0.5404044183373827,0.8266132353210065,0.2924701652098587,8.953210491583746
katun_nir_22.jpg,125.03696180555555,0.17282005339227435,0.17282005339227435,0.9135899733038628,0.5377450885736964,0.8188558692678172,0.28961262377045116,8.994764617458317
katun_nir_23.jpg,125.21371527777778,0.16909695871770664,0.16909695871770664,0.9154515206411468,0.5398858506730119,0.823459561929011,0.29186332493006517,8.969361820418092
katun_nir_24.jpg,125.23659722222222,0.16994367848426875,0.16994367848426875,0.9150281607578656,0.5400925227162957,0.8212845558948972,0.29212695674475697,8.943475483222883
katun_nir_25.jpg,125.30517939814816,0.16812973762946254,0.16812973762946254,0.9159351311852688,0.5402617873421901,0.8244922962171368,0.2923186508768103,8.95497265915603
katun_nir_26.jpg,125.35383680555556,0.16716791384060598,0.16716791384060598,0.9164160430796968,0.5414936494272589,0.8248290887181264,0.29361958453396164,8.936159552715566
katun_nir_27.jpg,125.2962326388889,0.17058027914436671,0.17058027914436671,0.9147098604278167,0.5390143236976259,0.8217772803639194,0.29096239465612034,8.983559985339753
katun_nir_28.jpg,125.32694444444445,0.1681756853459667,0.1681756853459667,0.9159121573270166,0.5405813718728582,0.8245728488951592,0.2926472218436944,8.953342207246932
katun_nir_29.jpg,124.96122106481481,0.17276536156615618,0.17276536156615618,0.9136173192169219,0.5374895178078543,0.8189488965826659,0.2893194195551323,8.993745322170843
katun_nir_30.jpg,125.30022569444445,0.16947982976921772,0.16947982976921772,0.915260085115391,0.5397271842623167,0.8232446605954243,0.2917426008630559,8.970393919655585
