,Katun NIR,Sutra NIR,Polyester NIR,Rayon NIR
mean_nir,0.12933191908945546,3.598906878413685,1.7899734760330765,0.20253932026781785
contrast,0.0017208647266151046,0.0076191701264257585,0.0162031988946129,0.0017152786207064714
dissimilarity,0.0017217332579958443,0.00761847666515472,0.0162031988946129,0.0017152786207064714
homogeneity,0.0008609539343488326,0.0038091690940917325,0.008101599447306436,0.0008576393103532449
energy,0.0010292166116093852,0.013625710330036454,0.014878452229417857,0.0019620712849653115
correlation,0.0021936112340408256,0.0028914106385941464,0.010238083321679397,0.0016740156786900445
asm,0.001109276714182791,0.012669586054862028,0.014851080676411787,0.002167903810827272
entropy,0.020429179281959295,0.15600605484236169,0.24483728080535802,0.03403460533291364
