filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,asm_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,asm_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,asm_B,entropy_B,Jenis_Kain,Kategori,Tipe_Data
katun_rgb_02.jpg,169.90081338908112,165.9455461591295,162.86399098804145,0.5167574275289535,0.4222544319409086,0.7983138986142784,0.3769159890674484,0.7091232272551259,0.1424263942777208,13.369246430892405,0.5216219797095134,0.4267078786797649,0.7961283175498831,0.3708615289426036,0.7167675996655493,0.1378980396957256,13.49183451334257,0.5262716172657511,0.4309268429488485,0.7940616254822783,0.3664852563765632,0.7210091374988281,0.1346713969282865,13.610500740659171,katun,Alami,RGB
katun_rgb_03.jpg,169.69614876690056,165.71447392529316,162.68712842316256,0.4546259785663091,0.3830899907154091,0.8156029470272373,0.4045758118972626,0.7033734947353372,0.164044757674093,12.581813902157602,0.4569487006554892,0.3849456464049071,0.814721844168422,0.4001102939898247,0.7152279280206097,0.1604491704454031,12.730830504472022,0.4618389095008129,0.3896942797332156,0.8123617832944329,0.3957188935071339,0.7217221039987741,0.1569534526664431,12.882387390616,katun,Alami,RGB
katun_rgb_04.jpg,169.22781427215494,165.2594791516484,162.3972056270425,0.4358274353441551,0.3700709158276116,0.8215351362572609,0.4146091442848631,0.7019854191591817,0.1722580489723591,12.335574964564785,0.4392513091921461,0.3731670995233445,0.8200201030928276,0.4094453663854238,0.7159103631689039,0.1680001856506331,12.523787483022458,0.4436036174955963,0.3774610481551418,0.8178788748153079,0.4025935654026318,0.7256516622785651,0.1624348737188461,12.703688940190542,katun,Alami,RGB
katun_rgb_05.jpg,170.42760671977123,166.68746007645296,163.7892418430812,0.4695091060483872,0.3948389965625199,0.8100427790609321,0.3944546720774969,0.7152813715948196,0.1559676104978091,12.879590835693945,0.4743937515824094,0.3990647894556386,0.8079956340786212,0.3855072129687159,0.7301960317003596,0.1489868273834369,13.094586895638937,0.4782836710341193,0.4028798039782109,0.8060955176482683,0.3785440753674003,0.7388461468760225,0.1436654593666365,13.263206768147448,katun,Alami,RGB
katun_rgb_06.jpg,169.99365741241348,166.37704461124727,163.4943978127403,0.5306433974817089,0.4305679939033536,0.7947128895004303,0.3736628357090874,0.7141135376862268,0.1399793465252705,13.5227302960823,0.5366347328028027,0.4358551927363647,0.7921396058266177,0.3643446767974164,0.7280510515969719,0.1331018286162242,13.726885412289128,0.5391057962075401,0.4381013429136377,0.7910391801585379,0.3582383529984577,0.7365114879001589,0.1286881799530378,13.87430469223425,katun,Alami,RGB
katun_rgb_07.jpg,170.136517880743,166.48892816164457,163.84452832143887,0.4544784987766705,0.3876060484562204,0.8128817982939163,0.3961953148695381,0.7220304741682018,0.1573675979455833,12.76823405658484,0.4608252917017296,0.3932489699766189,0.8101307598955385,0.3855778558037825,0.7377133423021665,0.1490679438255455,13.024601822155818,0.4645697114859959,0.3969836112835906,0.8082644279714117,0.377184244964809,0.7504713461390504,0.1426621759485126,13.248364153450678,katun,Alami,RGB
katun_rgb_08.jpg,170.19714385192393,166.47316449302352,163.72139771962708,0.4395612406512627,0.371216452016696,0.8212201058076833,0.4144793248803363,0.7087037323328542,0.1721473339837598,12.41084097454098,0.4431441666469891,0.3741794081936444,0.8198007214321333,0.4066560813199709,0.7276780943075772,0.1657196199808991,12.655714889768422,0.4482351392209575,0.3792994898640052,0.8172378227313091,0.3976691435975524,0.7392972031314072,0.1584908453360662,12.883771271593524,katun,Alami,RGB
katun_rgb_09.jpg,170.2468039886502,166.6374179752579,163.85503697496156,0.4818398206016993,0.402060427896959,0.8069431902911237,0.3902131867326027,0.7177179108647447,0.152648587627448,13.019469375366722,0.4887870314654611,0.4081757092773696,0.8039688056347531,0.3793984909336205,0.7344297011142834,0.1443232007542983,13.279878366411102,0.4919948918824997,0.4114273235259396,0.8023383655519811,0.3710941395901739,0.7457031681302363,0.1380900279027501,13.486794933499358,katun,Alami,RGB
katun_rgb_10.jpg,170.24383425245097,166.6866870114059,163.95309421256246,0.4349264611963868,0.3755872980551656,0.818138817095519,0.4045460940028035,0.7201549121255475,0.1640525026883383,12.528056818825728,0.440134168071807,0.3802507991207366,0.8158614682756176,0.3938773016269782,0.7378581199667301,0.1555322508054742,12.805767365916642,0.4432634680643676,0.3834829106803652,0.814235077106376,0.3855596851928997,0.7499507836322912,0.1490478812330824,13.01441057904904,katun,Alami,RGB
katun_rgb_11.jpg,170.3997507218778,166.6941794972687,163.93365094454856,0.4540954705526819,0.3859514083601107,0.8138362537151068,0.399903809146116,0.719073154021736,0.1603261909413207,12.716286181299663,0.4596479326414247,0.3908828201070455,0.811432596232582,0.3889887419095635,0.7369166388282077,0.1517123707770178,12.985838658509223,0.4632641981998214,0.3945307724808425,0.8096054605827894,0.3814911560968026,0.7475416267817333,0.145934455415815,13.183374528027205,katun,Alami,RGB
katun_rgb_12.jpg,171.3375813739507,167.774378894736,164.89377558110664,0.4995225158972862,0.421197692264798,0.7972303822310516,0.3734917778731514,0.7264859443563126,0.1398569734657847,13.380268017875393,0.5063269550687594,0.4275798917873722,0.7940813493459649,0.3608288490812468,0.7442583172359963,0.1305536426450206,13.66403011836572,0.5081953203447644,0.4291785561720004,0.7933090282155262,0.3546622094713241,0.7527591469996571,0.1261389404615354,13.811082775212236,katun,Alami,RGB
katun_rgb_13.jpg,170.57690313921728,167.13485223031205,164.54415293997502,0.3871839224387124,0.3528660853064533,0.8269985474202219,0.4133489701172309,0.7384311275863605,0.1712398343032086,12.097495613004412,0.3947929012375,0.3603642703558322,0.8232605487245988,0.3957674913558434,0.7605668461846057,0.1570135435480608,12.522946327480936,0.392208609649831,0.3580169200783707,0.8244105353377178,0.3895885653547714,0.777024509568477,0.1521537782789052,12.754008052757648,katun,Alami,RGB
katun_rgb_14.jpg,170.37259757865564,166.86033354058534,164.30347364895712,0.268939693458412,0.2607045993801044,0.870471030531675,0.4884819123051363,0.7298240419929827,0.2390213994859012,10.077072021110718,0.2716890232470191,0.2635477863186908,0.8690400734515691,0.4653383632528547,0.7642119985924147,0.2169423305245507,10.576970072891168,0.2719453813855126,0.2639538617719211,0.8688220418915522,0.4532497931336129,0.7861440264982419,0.2058268951071442,10.911470964328068,katun,Alami,RGB
